title_x,parent_asin,categories,cat1,rating,title_y,text,asin,user_id,helpful_vote,verified_purchase,time
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,5,Great tasting vitamins,"As a bariatric patient, I need to ensure I get all the necessary nutrients. These vitamins taste great and have been effective for me.",B07JH63HWS,AF2HY3SCRK45T2ATV7FKRYUJCCTA,0,True,12:43:00
New Bariatric Multivitamin Soft Chew | Berry Blast Flavor | Ideal for Post Bariatric Surgery Patients | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,1,Unpleasant Taste and High Price,"The Berry Blast flavor was not enjoyable, leaving a strong artificial aftertaste. It also caused stomach discomfort and nausea. The price is unreasonably high for a one-month supply. I cannot recommend this product.",B07JGTMK2L,AEW6J6HI2GG7WWJSS77H6LXW3MYA,0,True,02:18:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,5,Great option for those who dislike pills,"The berry flavor is delicious and there are no artificial sweeteners, which is a huge plus for me. The texture is slightly gritty but it's not a deal-breaker. These soft chews don't cause any nausea like the pill bariatric vitamins, making them a great alternative.",B07JGFHQ5P,AEOSYG7MLFUOIQXBSJ7UBZZBOTWQ,0,True,03:47:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,"Health & Household, Heart Health Event",,5,Great alternative flavor,"Bariatric Fusion's Berry flavor is a nice change from the Tropical Fruit flavor. The texture is similar, more like a softened Starburst than a gummy, which I appreciate. The flavor is still bold, but it's a good option to mix things up. I'm glad to have this alternative as a repeat buyer.",B08HG44W98,AGPAXVLELK72U4USTT4LJ2JSG47Q,4,True,21:21:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,3,Not as tasty as expected,"I had high hopes for these bariatric vitamins as they seemed to cover all the necessary nutrients. However, I found the taste and smell to be quite unpleasant, similar to my experience with the pill form. The sweetness is overwhelming, and it leaves a lingering aftertaste. The texture is comparable to a softer starburst, but the berry flavor doesn't quite mask the vitamin taste. If you're not as sensitive to tastes and smells as I am, you might find these more tolerable. I still recommend them for their nutritional value, but I wish the flavor was more appealing.",B07JH63HWS,AH73KJX7VIFLXKRLC6TLB7F3Z2VQ,0,True,23:52:00
Bariatric Fusion Bariatric Multivitamin Gummy | Berry Flavor | Easy to Chew for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,1,Extremely Unpleasant Tasting Multivitamin,This multivitamin has an incredibly unpleasant taste. I have never encountered a multivitamin that tastes this bad. I am eager to return them as soon as possible. The taste is truly unbearable.,B08HG44W98,AHW6CAGTB4HJYQZ4P4VPRABH25SA,0,True,09:39:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Blast Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,"Health & Household, Heart Health Event",,5,Delicious and Convenient!,"These berry blast flavored soft chews are a game-changer for me! I've always struggled with swallowing large pills, and these chews make taking my vitamins so much easier. The taste is fantastic, but be sure to chew them well and not let them dissolve in your mouth, as the center can be a bit bitter. Overall, I'm thrilled with this product and highly recommend it to anyone looking for a tasty and convenient way to take their bariatric multivitamins.",B07JGTMK2L,AHBFI7MC73LQY5LAHOWSH2TNEL4Q,0,True,22:09:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,3,"Tasty at first, but difficult to consume later","Initially, I found these multivitamin chews to have a pleasant berry flavor. However, as I progressed through my pre-op liquid diet, I noticed that the medicinal taste became more pronounced and difficult to tolerate. I had to force myself to consume them, and it was a challenge to avoid gagging.",B07JH63HWS,AGPC23FE2XFUWWLFA64OKYEY4CJQ,0,True,14:46:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,1,Bag had a terrible smell!,"I've had great experiences with Bariatric Fusion's other products, but this one was a disappointment. Upon opening the bag, I was hit with an overwhelming odor of chemicals and something that reminded me of spoiled food. It was so unpleasant that I couldn't bring myself to try the gummies. I suspect there might be an issue with the storage conditions. I'd recommend sticking to their bottled vitamins to avoid this issue.",B07JGFHQ5P,AF3TLSDA6NUIUAHQW6KKFEFFZ37A,1,True,05:02:00
Bariatric Fusion Bariatric Multivitamin Soft Chew | Berry Flavor | Chewy for Post Bariatric Surgery Patients Including Gastric Bypass and Sleeve Gastrectomy | 60 Count | 1 Month Supply,B0BKC2WYWB,Health & Household,Heart Health Event,3,Bariatric chews,The berry flavor is decent but not exceptional. Convenient for travel and storage.,B08HG44W98,AFYZGH5FCADVXCETKARMEYOC3ECQ,0,True,00:15:00
